Message,Category,cleaned_message
Your payment of ₹5238 was successful.,Transactional,your payment of 5238 was successful
Your OTP is 316024. Do not share it with anyone.,Transactional,your otp is 316024 do not share it with anyone
Your OTP is 816924. Do not share it with anyone.,Transactional,your otp is 816924 do not share it with anyone
Your package with tracking ID 185669 has been shipped.,Transactional,your package with tracking id 185669 has been shipped
Your payment of ₹1732 was successful.,Transactional,your payment of 1732 was successful
Your package with tracking ID 306561 has been shipped.,Transactional,your package with tracking id 306561 has been shipped
Your transaction ID is TXN730783. Please keep it for your records.,Transactional,your transaction id is txn730783 please keep it for your records
Your package with tracking ID 168736 has been shipped.,Transactional,your package with tracking id 168736 has been shipped
Your transaction ID is TXN583067. Please keep it for your records.,Transactional,your transaction id is txn583067 please keep it for your records
Your transaction ID is TXN376655. Please keep it for your records.,Transactional,your transaction id is txn376655 please keep it for your records
Your package with tracking ID 665160 has been shipped.,Transactional,your package with tracking id 665160 has been shipped
Your package with tracking ID 950137 has been shipped.,Transactional,your package with tracking id 950137 has been shipped
Your OTP is 238478. Do not share it with anyone.,Transactional,your otp is 238478 do not share it with anyone
Your package with tracking ID 875103 has been shipped.,Transactional,your package with tracking id 875103 has been shipped
Your OTP is 403210. Do not share it with anyone.,Transactional,your otp is 403210 do not share it with anyone
Your OTP is 212114. Do not share it with anyone.,Transactional,your otp is 212114 do not share it with anyone
Your package with tracking ID 972086 has been shipped.,Transactional,your package with tracking id 972086 has been shipped
Your OTP is 146632. Do not share it with anyone.,Transactional,your otp is 146632 do not share it with anyone
Your OTP is 804526. Do not share it with anyone.,Transactional,your otp is 804526 do not share it with anyone
Your transaction ID is TXN542980. Please keep it for your records.,Transactional,your transaction id is txn542980 please keep it for your records
Your OTP is 639637. Do not share it with anyone.,Transactional,your otp is 639637 do not share it with anyone
Your OTP is 277680. Do not share it with anyone.,Transactional,your otp is 277680 do not share it with anyone
Your payment of ₹127 was successful.,Transactional,your payment of 127 was successful
Your package with tracking ID 750390 has been shipped.,Transactional,your package with tracking id 750390 has been shipped
Your package with tracking ID 226390 has been shipped.,Transactional,your package with tracking id 226390 has been shipped
Your OTP is 221574. Do not share it with anyone.,Transactional,your otp is 221574 do not share it with anyone
Your OTP is 262138. Do not share it with anyone.,Transactional,your otp is 262138 do not share it with anyone
Your OTP is 687883. Do not share it with anyone.,Transactional,your otp is 687883 do not share it with anyone
Your OTP is 501013. Do not share it with anyone.,Transactional,your otp is 501013 do not share it with anyone
Your OTP is 284057. Do not share it with anyone.,Transactional,your otp is 284057 do not share it with anyone
Your payment of ₹9200 was successful.,Transactional,your payment of 9200 was successful
Your package with tracking ID 210307 has been shipped.,Transactional,your package with tracking id 210307 has been shipped
Your transaction ID is TXN294681. Please keep it for your records.,Transactional,your transaction id is txn294681 please keep it for your records
Your payment of ₹335 was successful.,Transactional,your payment of 335 was successful
Your payment of ₹8433 was successful.,Transactional,your payment of 8433 was successful
Your payment of ₹8957 was successful.,Transactional,your payment of 8957 was successful
Your package with tracking ID 631414 has been shipped.,Transactional,your package with tracking id 631414 has been shipped
Your OTP is 143988. Do not share it with anyone.,Transactional,your otp is 143988 do not share it with anyone
Your payment of ₹1714 was successful.,Transactional,your payment of 1714 was successful
Your package with tracking ID 852143 has been shipped.,Transactional,your package with tracking id 852143 has been shipped
Your transaction ID is TXN277367. Please keep it for your records.,Transactional,your transaction id is txn277367 please keep it for your records
Your transaction ID is TXN374313. Please keep it for your records.,Transactional,your transaction id is txn374313 please keep it for your records
Your payment of ₹8912 was successful.,Transactional,your payment of 8912 was successful
Your package with tracking ID 625814 has been shipped.,Transactional,your package with tracking id 625814 has been shipped
Your OTP is 735436. Do not share it with anyone.,Transactional,your otp is 735436 do not share it with anyone
Your OTP is 165912. Do not share it with anyone.,Transactional,your otp is 165912 do not share it with anyone
Your transaction ID is TXN572878. Please keep it for your records.,Transactional,your transaction id is txn572878 please keep it for your records
Your payment of ₹2777 was successful.,Transactional,your payment of 2777 was successful
Your payment of ₹7486 was successful.,Transactional,your payment of 7486 was successful
Your OTP is 353744. Do not share it with anyone.,Transactional,your otp is 353744 do not share it with anyone
Your transaction ID is TXN865824. Please keep it for your records.,Transactional,your transaction id is txn865824 please keep it for your records
Your payment of ₹7793 was successful.,Transactional,your payment of 7793 was successful
Your OTP is 558509. Do not share it with anyone.,Transactional,your otp is 558509 do not share it with anyone
Your payment of ₹4215 was successful.,Transactional,your payment of 4215 was successful
Your package with tracking ID 934200 has been shipped.,Transactional,your package with tracking id 934200 has been shipped
Your payment of ₹4716 was successful.,Transactional,your payment of 4716 was successful
Your package with tracking ID 733200 has been shipped.,Transactional,your package with tracking id 733200 has been shipped
Your payment of ₹8771 was successful.,Transactional,your payment of 8771 was successful
Your package with tracking ID 920906 has been shipped.,Transactional,your package with tracking id 920906 has been shipped
Your transaction ID is TXN728161. Please keep it for your records.,Transactional,your transaction id is txn728161 please keep it for your records
Your OTP is 772082. Do not share it with anyone.,Transactional,your otp is 772082 do not share it with anyone
Your package with tracking ID 561488 has been shipped.,Transactional,your package with tracking id 561488 has been shipped
Your package with tracking ID 479620 has been shipped.,Transactional,your package with tracking id 479620 has been shipped
Your payment of ₹970 was successful.,Transactional,your payment of 970 was successful
Your package with tracking ID 229425 has been shipped.,Transactional,your package with tracking id 229425 has been shipped
Your package with tracking ID 585000 has been shipped.,Transactional,your package with tracking id 585000 has been shipped
Your transaction ID is TXN120428. Please keep it for your records.,Transactional,your transaction id is txn120428 please keep it for your records
Your package with tracking ID 320954 has been shipped.,Transactional,your package with tracking id 320954 has been shipped
Your OTP is 730628. Do not share it with anyone.,Transactional,your otp is 730628 do not share it with anyone
Your payment of ₹9405 was successful.,Transactional,your payment of 9405 was successful
Your payment of ₹7965 was successful.,Transactional,your payment of 7965 was successful
Your package with tracking ID 435997 has been shipped.,Transactional,your package with tracking id 435997 has been shipped
Your transaction ID is TXN901351. Please keep it for your records.,Transactional,your transaction id is txn901351 please keep it for your records
Your transaction ID is TXN960233. Please keep it for your records.,Transactional,your transaction id is txn960233 please keep it for your records
Your package with tracking ID 416981 has been shipped.,Transactional,your package with tracking id 416981 has been shipped
Your package with tracking ID 637171 has been shipped.,Transactional,your package with tracking id 637171 has been shipped
Your transaction ID is TXN493548. Please keep it for your records.,Transactional,your transaction id is txn493548 please keep it for your records
Your transaction ID is TXN776176. Please keep it for your records.,Transactional,your transaction id is txn776176 please keep it for your records
Your OTP is 360937. Do not share it with anyone.,Transactional,your otp is 360937 do not share it with anyone
Your transaction ID is TXN355165. Please keep it for your records.,Transactional,your transaction id is txn355165 please keep it for your records
Your payment of ₹3416 was successful.,Transactional,your payment of 3416 was successful
Your payment of ₹4080 was successful.,Transactional,your payment of 4080 was successful
Your transaction ID is TXN360836. Please keep it for your records.,Transactional,your transaction id is txn360836 please keep it for your records
Your transaction ID is TXN986713. Please keep it for your records.,Transactional,your transaction id is txn986713 please keep it for your records
Your payment of ₹3147 was successful.,Transactional,your payment of 3147 was successful
Your OTP is 779576. Do not share it with anyone.,Transactional,your otp is 779576 do not share it with anyone
Your package with tracking ID 335901 has been shipped.,Transactional,your package with tracking id 335901 has been shipped
Your package with tracking ID 154770 has been shipped.,Transactional,your package with tracking id 154770 has been shipped
Your transaction ID is TXN515241. Please keep it for your records.,Transactional,your transaction id is txn515241 please keep it for your records
Your payment of ₹159 was successful.,Transactional,your payment of 159 was successful
Your OTP is 123258. Do not share it with anyone.,Transactional,your otp is 123258 do not share it with anyone
Your transaction ID is TXN533986. Please keep it for your records.,Transactional,your transaction id is txn533986 please keep it for your records
Your transaction ID is TXN826757. Please keep it for your records.,Transactional,your transaction id is txn826757 please keep it for your records
Your package with tracking ID 528204 has been shipped.,Transactional,your package with tracking id 528204 has been shipped
Your package with tracking ID 735506 has been shipped.,Transactional,your package with tracking id 735506 has been shipped
Your transaction ID is TXN677264. Please keep it for your records.,Transactional,your transaction id is txn677264 please keep it for your records
Your transaction ID is TXN260506. Please keep it for your records.,Transactional,your transaction id is txn260506 please keep it for your records
Your payment of ₹9949 was successful.,Transactional,your payment of 9949 was successful
Your payment of ₹3624 was successful.,Transactional,your payment of 3624 was successful
Your OTP is 167820. Do not share it with anyone.,Transactional,your otp is 167820 do not share it with anyone
Your payment of ₹4175 was successful.,Transactional,your payment of 4175 was successful
Your OTP is 522569. Do not share it with anyone.,Transactional,your otp is 522569 do not share it with anyone
Your transaction ID is TXN435818. Please keep it for your records.,Transactional,your transaction id is txn435818 please keep it for your records
Your OTP is 651976. Do not share it with anyone.,Transactional,your otp is 651976 do not share it with anyone
Your OTP is 130104. Do not share it with anyone.,Transactional,your otp is 130104 do not share it with anyone
Your OTP is 302973. Do not share it with anyone.,Transactional,your otp is 302973 do not share it with anyone
Your payment of ₹557 was successful.,Transactional,your payment of 557 was successful
Your payment of ₹1085 was successful.,Transactional,your payment of 1085 was successful
Your package with tracking ID 657114 has been shipped.,Transactional,your package with tracking id 657114 has been shipped
Your package with tracking ID 993628 has been shipped.,Transactional,your package with tracking id 993628 has been shipped
Your payment of ₹9444 was successful.,Transactional,your payment of 9444 was successful
Your OTP is 330758. Do not share it with anyone.,Transactional,your otp is 330758 do not share it with anyone
Your transaction ID is TXN488056. Please keep it for your records.,Transactional,your transaction id is txn488056 please keep it for your records
Your package with tracking ID 763464 has been shipped.,Transactional,your package with tracking id 763464 has been shipped
Your transaction ID is TXN198979. Please keep it for your records.,Transactional,your transaction id is txn198979 please keep it for your records
Your OTP is 515326. Do not share it with anyone.,Transactional,your otp is 515326 do not share it with anyone
Your OTP is 920850. Do not share it with anyone.,Transactional,your otp is 920850 do not share it with anyone
Your payment of ₹7092 was successful.,Transactional,your payment of 7092 was successful
Your package with tracking ID 197446 has been shipped.,Transactional,your package with tracking id 197446 has been shipped
Your package with tracking ID 554754 has been shipped.,Transactional,your package with tracking id 554754 has been shipped
Your OTP is 659229. Do not share it with anyone.,Transactional,your otp is 659229 do not share it with anyone
Your package with tracking ID 631592 has been shipped.,Transactional,your package with tracking id 631592 has been shipped
Your package with tracking ID 961351 has been shipped.,Transactional,your package with tracking id 961351 has been shipped
Your payment of ₹5996 was successful.,Transactional,your payment of 5996 was successful
Your transaction ID is TXN143549. Please keep it for your records.,Transactional,your transaction id is txn143549 please keep it for your records
Your OTP is 895620. Do not share it with anyone.,Transactional,your otp is 895620 do not share it with anyone
Your payment of ₹4051 was successful.,Transactional,your payment of 4051 was successful
Your package with tracking ID 907456 has been shipped.,Transactional,your package with tracking id 907456 has been shipped
Your OTP is 366466. Do not share it with anyone.,Transactional,your otp is 366466 do not share it with anyone
Your transaction ID is TXN630242. Please keep it for your records.,Transactional,your transaction id is txn630242 please keep it for your records
Your package with tracking ID 550472 has been shipped.,Transactional,your package with tracking id 550472 has been shipped
Your package with tracking ID 473486 has been shipped.,Transactional,your package with tracking id 473486 has been shipped
Your package with tracking ID 717941 has been shipped.,Transactional,your package with tracking id 717941 has been shipped
Your payment of ₹2253 was successful.,Transactional,your payment of 2253 was successful
Your transaction ID is TXN222259. Please keep it for your records.,Transactional,your transaction id is txn222259 please keep it for your records
Your OTP is 573289. Do not share it with anyone.,Transactional,your otp is 573289 do not share it with anyone
Your OTP is 314661. Do not share it with anyone.,Transactional,your otp is 314661 do not share it with anyone
Your transaction ID is TXN990267. Please keep it for your records.,Transactional,your transaction id is txn990267 please keep it for your records
Your package with tracking ID 349360 has been shipped.,Transactional,your package with tracking id 349360 has been shipped
Your payment of ₹3370 was successful.,Transactional,your payment of 3370 was successful
Your payment of ₹3154 was successful.,Transactional,your payment of 3154 was successful
Your transaction ID is TXN748120. Please keep it for your records.,Transactional,your transaction id is txn748120 please keep it for your records
Your transaction ID is TXN297201. Please keep it for your records.,Transactional,your transaction id is txn297201 please keep it for your records
Your package with tracking ID 101635 has been shipped.,Transactional,your package with tracking id 101635 has been shipped
Your package with tracking ID 467103 has been shipped.,Transactional,your package with tracking id 467103 has been shipped
Your transaction ID is TXN930407. Please keep it for your records.,Transactional,your transaction id is txn930407 please keep it for your records
Your package with tracking ID 662570 has been shipped.,Transactional,your package with tracking id 662570 has been shipped
Your payment of ₹131 was successful.,Transactional,your payment of 131 was successful
Your OTP is 893562. Do not share it with anyone.,Transactional,your otp is 893562 do not share it with anyone
Your transaction ID is TXN373400. Please keep it for your records.,Transactional,your transaction id is txn373400 please keep it for your records
Your OTP is 225216. Do not share it with anyone.,Transactional,your otp is 225216 do not share it with anyone
Your package with tracking ID 591611 has been shipped.,Transactional,your package with tracking id 591611 has been shipped
Your package with tracking ID 789143 has been shipped.,Transactional,your package with tracking id 789143 has been shipped
Your transaction ID is TXN579139. Please keep it for your records.,Transactional,your transaction id is txn579139 please keep it for your records
Your transaction ID is TXN583241. Please keep it for your records.,Transactional,your transaction id is txn583241 please keep it for your records
Your payment of ₹3765 was successful.,Transactional,your payment of 3765 was successful
Your payment of ₹8598 was successful.,Transactional,your payment of 8598 was successful
Your payment of ₹5641 was successful.,Transactional,your payment of 5641 was successful
Your package with tracking ID 603696 has been shipped.,Transactional,your package with tracking id 603696 has been shipped
Your transaction ID is TXN449775. Please keep it for your records.,Transactional,your transaction id is txn449775 please keep it for your records
Your package with tracking ID 371712 has been shipped.,Transactional,your package with tracking id 371712 has been shipped
Your OTP is 446116. Do not share it with anyone.,Transactional,your otp is 446116 do not share it with anyone
Your package with tracking ID 926803 has been shipped.,Transactional,your package with tracking id 926803 has been shipped
Your OTP is 881540. Do not share it with anyone.,Transactional,your otp is 881540 do not share it with anyone
Your payment of ₹9734 was successful.,Transactional,your payment of 9734 was successful
Your payment of ₹5498 was successful.,Transactional,your payment of 5498 was successful
Your payment of ₹6373 was successful.,Transactional,your payment of 6373 was successful
Your OTP is 554466. Do not share it with anyone.,Transactional,your otp is 554466 do not share it with anyone
Your payment of ₹3265 was successful.,Transactional,your payment of 3265 was successful
Your transaction ID is TXN726351. Please keep it for your records.,Transactional,your transaction id is txn726351 please keep it for your records
Your payment of ₹157 was successful.,Transactional,your payment of 157 was successful
Your OTP is 768277. Do not share it with anyone.,Transactional,your otp is 768277 do not share it with anyone
Your package with tracking ID 449077 has been shipped.,Transactional,your package with tracking id 449077 has been shipped
Your transaction ID is TXN525056. Please keep it for your records.,Transactional,your transaction id is txn525056 please keep it for your records
Your OTP is 618892. Do not share it with anyone.,Transactional,your otp is 618892 do not share it with anyone
Your transaction ID is TXN135211. Please keep it for your records.,Transactional,your transaction id is txn135211 please keep it for your records
Your payment of ₹2526 was successful.,Transactional,your payment of 2526 was successful
Your OTP is 433010. Do not share it with anyone.,Transactional,your otp is 433010 do not share it with anyone
Your transaction ID is TXN504065. Please keep it for your records.,Transactional,your transaction id is txn504065 please keep it for your records
Your OTP is 643986. Do not share it with anyone.,Transactional,your otp is 643986 do not share it with anyone
Your transaction ID is TXN139247. Please keep it for your records.,Transactional,your transaction id is txn139247 please keep it for your records
Your package with tracking ID 860938 has been shipped.,Transactional,your package with tracking id 860938 has been shipped
Your transaction ID is TXN483206. Please keep it for your records.,Transactional,your transaction id is txn483206 please keep it for your records
Your package with tracking ID 659141 has been shipped.,Transactional,your package with tracking id 659141 has been shipped
Your package with tracking ID 177720 has been shipped.,Transactional,your package with tracking id 177720 has been shipped
Your transaction ID is TXN610472. Please keep it for your records.,Transactional,your transaction id is txn610472 please keep it for your records
Your transaction ID is TXN635821. Please keep it for your records.,Transactional,your transaction id is txn635821 please keep it for your records
Your package with tracking ID 603070 has been shipped.,Transactional,your package with tracking id 603070 has been shipped
Your OTP is 578367. Do not share it with anyone.,Transactional,your otp is 578367 do not share it with anyone
Your payment of ₹7347 was successful.,Transactional,your payment of 7347 was successful
Your package with tracking ID 952047 has been shipped.,Transactional,your package with tracking id 952047 has been shipped
Your transaction ID is TXN343600. Please keep it for your records.,Transactional,your transaction id is txn343600 please keep it for your records
Your package with tracking ID 824868 has been shipped.,Transactional,your package with tracking id 824868 has been shipped
Your payment of ₹4605 was successful.,Transactional,your payment of 4605 was successful
Your OTP is 815206. Do not share it with anyone.,Transactional,your otp is 815206 do not share it with anyone
Your transaction ID is TXN697859. Please keep it for your records.,Transactional,your transaction id is txn697859 please keep it for your records
Your package with tracking ID 503716 has been shipped.,Transactional,your package with tracking id 503716 has been shipped
Your payment of ₹3039 was successful.,Transactional,your payment of 3039 was successful
Your package with tracking ID 958795 has been shipped.,Transactional,your package with tracking id 958795 has been shipped
Your OTP is 253835. Do not share it with anyone.,Transactional,your otp is 253835 do not share it with anyone
Your OTP is 848573. Do not share it with anyone.,Transactional,your otp is 848573 do not share it with anyone
Your transaction ID is TXN650671. Please keep it for your records.,Transactional,your transaction id is txn650671 please keep it for your records
Your transaction ID is TXN134762. Please keep it for your records.,Transactional,your transaction id is txn134762 please keep it for your records
Your OTP is 970531. Do not share it with anyone.,Transactional,your otp is 970531 do not share it with anyone
Your package with tracking ID 451871 has been shipped.,Transactional,your package with tracking id 451871 has been shipped
Your OTP is 381074. Do not share it with anyone.,Transactional,your otp is 381074 do not share it with anyone
Your payment of ₹8021 was successful.,Transactional,your payment of 8021 was successful
Your package with tracking ID 546671 has been shipped.,Transactional,your package with tracking id 546671 has been shipped
Your transaction ID is TXN700959. Please keep it for your records.,Transactional,your transaction id is txn700959 please keep it for your records
Your OTP is 787126. Do not share it with anyone.,Transactional,your otp is 787126 do not share it with anyone
Your package with tracking ID 557336 has been shipped.,Transactional,your package with tracking id 557336 has been shipped
Your package with tracking ID 658368 has been shipped.,Transactional,your package with tracking id 658368 has been shipped
Your OTP is 137931. Do not share it with anyone.,Transactional,your otp is 137931 do not share it with anyone
Your transaction ID is TXN228867. Please keep it for your records.,Transactional,your transaction id is txn228867 please keep it for your records
Your OTP is 750551. Do not share it with anyone.,Transactional,your otp is 750551 do not share it with anyone
Your transaction ID is TXN556111. Please keep it for your records.,Transactional,your transaction id is txn556111 please keep it for your records
Your package with tracking ID 199893 has been shipped.,Transactional,your package with tracking id 199893 has been shipped
Your package with tracking ID 353000 has been shipped.,Transactional,your package with tracking id 353000 has been shipped
Your OTP is 605235. Do not share it with anyone.,Transactional,your otp is 605235 do not share it with anyone
Your transaction ID is TXN440898. Please keep it for your records.,Transactional,your transaction id is txn440898 please keep it for your records
Your transaction ID is TXN512014. Please keep it for your records.,Transactional,your transaction id is txn512014 please keep it for your records
Your payment of ₹3480 was successful.,Transactional,your payment of 3480 was successful
Your OTP is 699675. Do not share it with anyone.,Transactional,your otp is 699675 do not share it with anyone
Your payment of ₹3245 was successful.,Transactional,your payment of 3245 was successful
Your OTP is 694652. Do not share it with anyone.,Transactional,your otp is 694652 do not share it with anyone
Your package with tracking ID 299867 has been shipped.,Transactional,your package with tracking id 299867 has been shipped
Your OTP is 860579. Do not share it with anyone.,Transactional,your otp is 860579 do not share it with anyone
Your OTP is 136894. Do not share it with anyone.,Transactional,your otp is 136894 do not share it with anyone
Your package with tracking ID 869110 has been shipped.,Transactional,your package with tracking id 869110 has been shipped
Your package with tracking ID 604277 has been shipped.,Transactional,your package with tracking id 604277 has been shipped
Your transaction ID is TXN938460. Please keep it for your records.,Transactional,your transaction id is txn938460 please keep it for your records
Your transaction ID is TXN919733. Please keep it for your records.,Transactional,your transaction id is txn919733 please keep it for your records
Your payment of ₹4289 was successful.,Transactional,your payment of 4289 was successful
Your OTP is 679660. Do not share it with anyone.,Transactional,your otp is 679660 do not share it with anyone
Your transaction ID is TXN976283. Please keep it for your records.,Transactional,your transaction id is txn976283 please keep it for your records
Your payment of ₹5006 was successful.,Transactional,your payment of 5006 was successful
Your payment of ₹6398 was successful.,Transactional,your payment of 6398 was successful
Your OTP is 604210. Do not share it with anyone.,Transactional,your otp is 604210 do not share it with anyone
Your OTP is 319790. Do not share it with anyone.,Transactional,your otp is 319790 do not share it with anyone
Your OTP is 483221. Do not share it with anyone.,Transactional,your otp is 483221 do not share it with anyone
Your payment of ₹7102 was successful.,Transactional,your payment of 7102 was successful
Your OTP is 388838. Do not share it with anyone.,Transactional,your otp is 388838 do not share it with anyone
Your transaction ID is TXN145869. Please keep it for your records.,Transactional,your transaction id is txn145869 please keep it for your records
Your package with tracking ID 203703 has been shipped.,Transactional,your package with tracking id 203703 has been shipped
Your payment of ₹6986 was successful.,Transactional,your payment of 6986 was successful
Your transaction ID is TXN582257. Please keep it for your records.,Transactional,your transaction id is txn582257 please keep it for your records
Your payment of ₹3037 was successful.,Transactional,your payment of 3037 was successful
Your transaction ID is TXN288074. Please keep it for your records.,Transactional,your transaction id is txn288074 please keep it for your records
Your OTP is 317434. Do not share it with anyone.,Transactional,your otp is 317434 do not share it with anyone
Your transaction ID is TXN787225. Please keep it for your records.,Transactional,your transaction id is txn787225 please keep it for your records
Your package with tracking ID 907493 has been shipped.,Transactional,your package with tracking id 907493 has been shipped
Your transaction ID is TXN648241. Please keep it for your records.,Transactional,your transaction id is txn648241 please keep it for your records
Your transaction ID is TXN623636. Please keep it for your records.,Transactional,your transaction id is txn623636 please keep it for your records
Your package with tracking ID 284472 has been shipped.,Transactional,your package with tracking id 284472 has been shipped
Your package with tracking ID 511852 has been shipped.,Transactional,your package with tracking id 511852 has been shipped
Your transaction ID is TXN615900. Please keep it for your records.,Transactional,your transaction id is txn615900 please keep it for your records
Your OTP is 646903. Do not share it with anyone.,Transactional,your otp is 646903 do not share it with anyone
Your package with tracking ID 535746 has been shipped.,Transactional,your package with tracking id 535746 has been shipped
Your package with tracking ID 157282 has been shipped.,Transactional,your package with tracking id 157282 has been shipped
Your package with tracking ID 768535 has been shipped.,Transactional,your package with tracking id 768535 has been shipped
Your package with tracking ID 706758 has been shipped.,Transactional,your package with tracking id 706758 has been shipped
Your payment of ₹3531 was successful.,Transactional,your payment of 3531 was successful
Your package with tracking ID 115000 has been shipped.,Transactional,your package with tracking id 115000 has been shipped
Your transaction ID is TXN721871. Please keep it for your records.,Transactional,your transaction id is txn721871 please keep it for your records
Your package with tracking ID 187187 has been shipped.,Transactional,your package with tracking id 187187 has been shipped
Your OTP is 893504. Do not share it with anyone.,Transactional,your otp is 893504 do not share it with anyone
Your package with tracking ID 975728 has been shipped.,Transactional,your package with tracking id 975728 has been shipped
Your payment of ₹8923 was successful.,Transactional,your payment of 8923 was successful
Your package with tracking ID 221027 has been shipped.,Transactional,your package with tracking id 221027 has been shipped
Your payment of ₹8379 was successful.,Transactional,your payment of 8379 was successful
Your payment of ₹2604 was successful.,Transactional,your payment of 2604 was successful
Your payment of ₹6075 was successful.,Transactional,your payment of 6075 was successful
Your payment of ₹4600 was successful.,Transactional,your payment of 4600 was successful
Your OTP is 527044. Do not share it with anyone.,Transactional,your otp is 527044 do not share it with anyone
Your payment of ₹3014 was successful.,Transactional,your payment of 3014 was successful
Your payment of ₹5550 was successful.,Transactional,your payment of 5550 was successful
Your payment of ₹7190 was successful.,Transactional,your payment of 7190 was successful
Your OTP is 280731. Do not share it with anyone.,Transactional,your otp is 280731 do not share it with anyone
Your transaction ID is TXN804927. Please keep it for your records.,Transactional,your transaction id is txn804927 please keep it for your records
Your OTP is 419143. Do not share it with anyone.,Transactional,your otp is 419143 do not share it with anyone
Your transaction ID is TXN134620. Please keep it for your records.,Transactional,your transaction id is txn134620 please keep it for your records
Your payment of ₹9849 was successful.,Transactional,your payment of 9849 was successful
Your transaction ID is TXN614770. Please keep it for your records.,Transactional,your transaction id is txn614770 please keep it for your records
Your payment of ₹5735 was successful.,Transactional,your payment of 5735 was successful
Your transaction ID is TXN989037. Please keep it for your records.,Transactional,your transaction id is txn989037 please keep it for your records
Your package with tracking ID 492465 has been shipped.,Transactional,your package with tracking id 492465 has been shipped
Your OTP is 163581. Do not share it with anyone.,Transactional,your otp is 163581 do not share it with anyone
Your package with tracking ID 352344 has been shipped.,Transactional,your package with tracking id 352344 has been shipped
Your payment of ₹5460 was successful.,Transactional,your payment of 5460 was successful
Your payment of ₹7502 was successful.,Transactional,your payment of 7502 was successful
Your payment of ₹5893 was successful.,Transactional,your payment of 5893 was successful
Your transaction ID is TXN327923. Please keep it for your records.,Transactional,your transaction id is txn327923 please keep it for your records
Your package with tracking ID 706227 has been shipped.,Transactional,your package with tracking id 706227 has been shipped
Your package with tracking ID 309771 has been shipped.,Transactional,your package with tracking id 309771 has been shipped
Your OTP is 718884. Do not share it with anyone.,Transactional,your otp is 718884 do not share it with anyone
Your OTP is 174275. Do not share it with anyone.,Transactional,your otp is 174275 do not share it with anyone
Your package with tracking ID 856323 has been shipped.,Transactional,your package with tracking id 856323 has been shipped
Your payment of ₹6017 was successful.,Transactional,your payment of 6017 was successful
Your package with tracking ID 288778 has been shipped.,Transactional,your package with tracking id 288778 has been shipped
Your package with tracking ID 738190 has been shipped.,Transactional,your package with tracking id 738190 has been shipped
Your OTP is 428354. Do not share it with anyone.,Transactional,your otp is 428354 do not share it with anyone
Your transaction ID is TXN500806. Please keep it for your records.,Transactional,your transaction id is txn500806 please keep it for your records
Your payment of ₹884 was successful.,Transactional,your payment of 884 was successful
Your transaction ID is TXN125330. Please keep it for your records.,Transactional,your transaction id is txn125330 please keep it for your records
Your OTP is 432744. Do not share it with anyone.,Transactional,your otp is 432744 do not share it with anyone
Your package with tracking ID 888968 has been shipped.,Transactional,your package with tracking id 888968 has been shipped
Your OTP is 475881. Do not share it with anyone.,Transactional,your otp is 475881 do not share it with anyone
Your package with tracking ID 709695 has been shipped.,Transactional,your package with tracking id 709695 has been shipped
Your payment of ₹9256 was successful.,Transactional,your payment of 9256 was successful
Your transaction ID is TXN748603. Please keep it for your records.,Transactional,your transaction id is txn748603 please keep it for your records
Your OTP is 133851. Do not share it with anyone.,Transactional,your otp is 133851 do not share it with anyone
Your package with tracking ID 389434 has been shipped.,Transactional,your package with tracking id 389434 has been shipped
Your payment of ₹5167 was successful.,Transactional,your payment of 5167 was successful
Your OTP is 177581. Do not share it with anyone.,Transactional,your otp is 177581 do not share it with anyone
Your package with tracking ID 308719 has been shipped.,Transactional,your package with tracking id 308719 has been shipped
Your package with tracking ID 956629 has been shipped.,Transactional,your package with tracking id 956629 has been shipped
Your transaction ID is TXN521624. Please keep it for your records.,Transactional,your transaction id is txn521624 please keep it for your records
Your OTP is 641008. Do not share it with anyone.,Transactional,your otp is 641008 do not share it with anyone
Your package with tracking ID 846469 has been shipped.,Transactional,your package with tracking id 846469 has been shipped
Your package with tracking ID 256280 has been shipped.,Transactional,your package with tracking id 256280 has been shipped
Your OTP is 688043. Do not share it with anyone.,Transactional,your otp is 688043 do not share it with anyone
Your OTP is 921850. Do not share it with anyone.,Transactional,your otp is 921850 do not share it with anyone
Your transaction ID is TXN481216. Please keep it for your records.,Transactional,your transaction id is txn481216 please keep it for your records
Your transaction ID is TXN772396. Please keep it for your records.,Transactional,your transaction id is txn772396 please keep it for your records
Your payment of ₹101 was successful.,Transactional,your payment of 101 was successful
Your transaction ID is TXN551187. Please keep it for your records.,Transactional,your transaction id is txn551187 please keep it for your records
Your OTP is 435700. Do not share it with anyone.,Transactional,your otp is 435700 do not share it with anyone
Your package with tracking ID 172398 has been shipped.,Transactional,your package with tracking id 172398 has been shipped
Your package with tracking ID 678528 has been shipped.,Transactional,your package with tracking id 678528 has been shipped
Your package with tracking ID 710512 has been shipped.,Transactional,your package with tracking id 710512 has been shipped
Your OTP is 354074. Do not share it with anyone.,Transactional,your otp is 354074 do not share it with anyone
Your transaction ID is TXN389090. Please keep it for your records.,Transactional,your transaction id is txn389090 please keep it for your records
Your package with tracking ID 591670 has been shipped.,Transactional,your package with tracking id 591670 has been shipped
Your OTP is 431454. Do not share it with anyone.,Transactional,your otp is 431454 do not share it with anyone
Your payment of ₹7077 was successful.,Transactional,your payment of 7077 was successful
Your transaction ID is TXN600195. Please keep it for your records.,Transactional,your transaction id is txn600195 please keep it for your records
